OBJECTID,src_FID,nbr_FID,LENGTH,NODE_COUNT
399,62,723,0.00086048198,0
400,62,1737,0.00345951519,0
401,63,71,0.00223827939,0
402,63,638,0.00224132529,0
403,63,639,0.00570899101,0
404,63,1718,0.00570617403,0
405,63,1759,0.00000000000,1
406,63,1849,0.00000000000,1
407,64,60,0.00774818047,0
408,64,61,0.00240055443,0
409,64,98,0.00161498705,0
410,64,1425,0.00241633326,0
411,64,1496,0.00236676386,0
412,64,1748,0.00855669929,0
413,65,56,0.00298931876,0
414,65,66,0.00570473303,0
415,65,639,0.00570697218,0
416,65,724,0.00224021185,0
417,65,725,0.00074784577,0
418,66,56,0.00199673398,0
419,66,65,0.00570473303,0
420,66,69,0.00225442794,0
421,66,724,0.00074687234,0
422,66,1493,0.00230463605,0
423,66,1875,0.00365092028,0
424,67,68,0.00583132259,0
425,67,73,0.00000000000,1
426,67,76,0.00248845904,0
427,67,89,0.00265792778,0
428,67,96,0.00079748489,0
429,67,1084,0.00260587900,0
430,67,1085,0.00256370423,0
431,68,67,0.00583132259,0
432,68,70,0.00000000000,1
433,68,72,0.00257065092,0
434,68,73,0.00256911876,0
435,68,96,0.00017340938,0
436,68,98,0.00063924508,0
437,68,1084,0.00000000000,1
438,68,1496,0.00579975926,0
439,68,1748,0.00517453416,0
440,68,1857,0.00080589091,0
441,69,66,0.00225442794,0
442,69,724,0.00579873484,0
443,69,842,0.00000000000,1
444,69,1454,0.00326892699,0
445,69,1875,0.00598619113,0
446,70,68,0.00000000000,1
447,70,72,0.00711291771,0
448,70,757,0.00261076872,0
449,70,1853,0.00535522329,0
450,70,1857,0.00426541395,0
451,70,1925,0.00000000000,1
452,71,63,0.00223827939,0
453,71,74,0.00298749854,0
454,71,75,0.00000000000,1
455,71,639,0.00074830749,0
456,71,725,0.00579886829,0
457,71,789,0.00000000000,1
458,71,1718,0.00000000000,1
459,71,1759,0.00579611054,0
460,72,68,0.00257065092,0
461,72,70,0.00711291771,0
462,72,73,0.00654725730,0
463,72,757,0.00000000000,1
464,72,1857,0.00000000000,1
465,72,1925,0.00261275049,0
466,72,2041,0.00041582371,0
467,73,67,0.00000000000,1
468,73,68,0.00256911876,0
469,73,72,0.00654725730,0
470,73,1084,0.00654632219,0
471,73,2041,0.00256976960,0
472,73,2042,0.00000000000,1
473,74,71,0.00298749854,0
474,74,75,0.00588491815,0
475,74,718,0.00298766128,0
476,74,725,0.00000000000,1
477,74,789,0.00588926833,0
478,74,1759,0.00000000000,1
479,75,71,0.00000000000,1
480,75,74,0.00588491815,0
481,75,563,0.00224079271,0
482,75,718,0.00074637184,0
483,75,724,0.00000000000,1
484,75,725,0.00298916306,0
485,75,842,0.00587821905,0
486,76,67,0.00248845904,0
487,76,77,0.00740397110,0
488,76,89,0.00729507870,0
489,76,916,0.00120689028,0
490,76,1085,0.00406901698,0
491,77,76,0.00740397110,0
492,77,795,0.00155545070,0
493,77,913,0.00858226696,0
494,77,916,0.00314078586,0
495,77,1085,0.00244394722,0
496,78,122,0.00321045871,0
497,78,124,0.00387507382,0
